age_group,base_life_expectancy,smoking,exercise,diet,alcohol,sleep,stress,social_connections,lifestyle_impact,adjusted_life_expectancy,years_lost,years_gained,risk_score
30-34,48.6,current_light,vigorous,excellent,moderate,average,moderate,moderate,-3.3000000000000007,45.3,3.3000000000000007,0.0,56.6
30-34,48.6,current_heavy,light,good,heavy,poor,minimal,isolated,-18.400000000000002,30.2,18.400000000000002,0.0,86.80000000000001
20-24,58.2,never,sedentary,good,moderate,excellent,high,limited,-8.5,49.7,8.5,0.0,67.0
40-44,39.0,current_heavy,vigorous,poor,heavy,poor,moderate,strong,-15.5,23.5,15.5,0.0,81.0
30-34,48.6,never,moderate,average,light,average,moderate,isolated,-5.9,42.7,5.9,0.0,61.8
40-44,39.0,former,sedentary,good,light,average,low,strong,-5.199999999999999,33.8,5.199999999999999,0.0,60.4
60-64,19.8,current_heavy,light,poor,none,excellent,high,limited,-16.4,3.400000000000002,16.4,0.0,82.8
40-44,39.0,current_heavy,vigorous,excellent,heavy,average,low,strong,-6.999999999999999,32.0,6.999999999999999,0.0,64.0
55-59,24.6,current_heavy,moderate,poor,moderate,poor,minimal,limited,-14.499999999999996,10.100000000000005,14.499999999999996,0.0,79.0
45-49,34.2,former,sedentary,excellent,moderate,good,low,strong,-2.8,31.400000000000002,2.8,0.0,55.6
30-34,48.6,current_heavy,vigorous,average,heavy,poor,minimal,moderate,-12.6,36.0,12.6,0.0,75.2
35-39,43.8,never,light,poor,none,excellent,high,limited,-7.699999999999999,36.099999999999994,7.699999999999999,0.0,65.4
30-34,48.6,never,light,poor,moderate,poor,moderate,limited,-10.6,38.0,10.6,0.0,71.2
40-44,39.0,former,moderate,average,light,poor,moderate,isolated,-9.7,29.3,9.7,0.0,69.4
40-44,39.0,never,moderate,good,light,excellent,high,limited,-3.2,35.8,3.2,0.0,56.4
65-69,15.0,never,light,good,light,good,low,limited,-2.9000000000000004,12.1,2.9000000000000004,0.0,55.8
60-64,19.8,current_light,sedentary,poor,moderate,excellent,moderate,moderate,-13.499999999999998,6.3000000000000025,13.499999999999998,0.0,77.0
55-59,24.6,former,light,excellent,light,excellent,low,isolated,-2.9,21.700000000000003,2.9,0.0,55.8
55-59,24.6,current_heavy,moderate,excellent,none,poor,high,isolated,-13.8,10.8,13.8,0.0,77.6
20-24,58.2,former,moderate,poor,moderate,poor,high,limited,-13.6,44.6,13.6,0.0,77.2
45-49,34.2,former,light,good,moderate,good,high,isolated,-11.8,22.400000000000002,11.8,0.0,73.6
55-59,24.6,current_light,light,good,heavy,good,low,limited,-12.9,11.700000000000001,12.9,0.0,75.8
25-29,53.4,never,light,excellent,heavy,good,moderate,strong,-2.8,50.6,2.8,0.0,55.6
25-29,53.4,former,light,average,moderate,poor,moderate,moderate,-9.9,43.5,9.9,0.0,69.8
35-39,43.8,never,moderate,average,heavy,good,low,isolated,-8.7,35.099999999999994,8.7,0.0,67.4
20-24,58.2,current_heavy,sedentary,average,moderate,excellent,minimal,moderate,-11.899999999999997,46.300000000000004,11.899999999999997,0.0,73.8
25-29,53.4,never,moderate,average,moderate,average,low,strong,-0.8999999999999995,52.5,0.8999999999999995,0.0,51.8
20-24,58.2,never,vigorous,excellent,none,excellent,low,strong,9.2,67.4,0.0,9.2,31.6
40-44,39.0,former,moderate,poor,none,average,moderate,strong,-5.0,34.0,5.0,0.0,60.0
50-54,29.4,former,light,poor,heavy,poor,moderate,limited,-16.7,12.7,16.7,0.0,83.4
65-69,15.0,never,light,excellent,moderate,average,low,moderate,-1.0000000000000002,14.0,1.0000000000000002,0.0,52.0
40-44,39.0,former,vigorous,good,light,good,minimal,strong,3.8,42.8,0.0,3.8,42.4
55-59,24.6,current_heavy,sedentary,average,none,good,high,isolated,-19.7,4.900000000000002,19.7,0.0,89.4
35-39,43.8,current_heavy,light,poor,none,poor,high,moderate,-18.799999999999997,25.0,18.799999999999997,0.0,87.6
60-64,19.8,former,vigorous,excellent,heavy,excellent,low,isolated,-3.6,16.2,3.6,0.0,57.2
55-59,24.6,former,sedentary,average,light,good,low,limited,-8.799999999999999,15.800000000000002,8.799999999999999,0.0,67.6
35-39,43.8,former,moderate,excellent,heavy,average,low,limited,-6.4,37.4,6.4,0.0,62.8
20-24,58.2,current_heavy,light,poor,heavy,excellent,minimal,isolated,-18.1,40.1,18.1,0.0,86.2
45-49,34.2,current_light,vigorous,poor,none,average,high,strong,-7.7,26.500000000000004,7.7,0.0,65.4
55-59,24.6,current_light,light,good,moderate,poor,moderate,strong,-9.299999999999997,15.300000000000004,9.299999999999997,0.0,68.6
65-69,15.0,former,vigorous,poor,moderate,average,moderate,strong,-4.4,10.6,4.4,0.0,58.8
55-59,24.6,current_light,vigorous,poor,moderate,average,minimal,strong,-4.100000000000001,20.5,4.100000000000001,0.0,58.2
65-69,15.0,current_light,moderate,good,light,average,high,moderate,-9.5,5.5,9.5,0.0,69.0
55-59,24.6,current_light,vigorous,good,moderate,excellent,minimal,limited,-2.000000000000001,22.6,2.000000000000001,0.0,54.0
45-49,34.2,never,vigorous,poor,moderate,average,low,isolated,-5.7,28.500000000000004,5.7,0.0,61.4
30-34,48.6,current_heavy,light,poor,heavy,good,moderate,limited,-20.8,27.8,20.8,0.0,91.6
40-44,39.0,current_heavy,sedentary,good,light,good,moderate,isolated,-16.799999999999997,22.200000000000003,16.799999999999997,0.0,83.6
50-54,29.4,former,light,poor,none,poor,minimal,strong,-5.1,24.299999999999997,5.1,0.0,60.2
35-39,43.8,never,light,excellent,light,good,minimal,moderate,2.8,46.599999999999994,0.0,2.8,44.4
55-59,24.6,never,vigorous,average,heavy,good,moderate,isolated,-7.6,17.0,7.6,0.0,65.2
35-39,43.8,current_light,moderate,average,none,average,moderate,limited,-8.9,34.9,8.9,0.0,67.8
55-59,24.6,current_light,light,good,light,poor,low,moderate,-9.1,15.500000000000002,9.1,0.0,68.2
55-59,24.6,current_heavy,light,poor,moderate,excellent,moderate,moderate,-14.699999999999998,9.900000000000004,14.699999999999998,0.0,79.39999999999999
25-29,53.4,former,sedentary,excellent,light,good,moderate,limited,-6.1,47.3,6.1,0.0,62.2
45-49,34.2,never,moderate,average,light,average,moderate,strong,-0.8999999999999999,33.300000000000004,0.8999999999999999,0.0,51.8
35-39,43.8,former,vigorous,good,none,average,low,strong,1.7,45.5,0.0,1.7,46.6
20-24,58.2,current_light,moderate,good,light,poor,high,isolated,-13.600000000000001,44.6,13.600000000000001,0.0,77.2
40-44,39.0,former,light,good,heavy,excellent,high,strong,-9.0,30.0,9.0,0.0,68.0
45-49,34.2,current_heavy,sedentary,poor,light,poor,high,strong,-19.400000000000002,14.8,19.400000000000002,0.0,88.80000000000001
35-39,43.8,never,vigorous,good,none,poor,moderate,strong,1.7,45.5,0.0,1.7,46.6
40-44,39.0,never,vigorous,good,light,poor,minimal,moderate,1.9999999999999998,41.0,0.0,1.9999999999999998,46.0
20-24,58.2,former,light,excellent,moderate,good,low,strong,-0.5,57.7,0.5,0.0,51.0
30-34,48.6,current_heavy,sedentary,average,light,average,low,limited,-15.799999999999999,32.800000000000004,15.799999999999999,0.0,81.6
20-24,58.2,current_light,moderate,average,heavy,good,minimal,limited,-10.4,47.800000000000004,10.4,0.0,70.8
45-49,34.2,current_light,moderate,excellent,none,good,minimal,isolated,-2.9000000000000004,31.300000000000004,2.9000000000000004,0.0,55.8
35-39,43.8,former,sedentary,excellent,heavy,average,low,limited,-10.5,33.3,10.5,0.0,71.0
60-64,19.8,former,vigorous,average,none,poor,low,strong,-0.7000000000000002,19.1,0.7000000000000002,0.0,51.4
60-64,19.8,current_light,moderate,excellent,moderate,good,high,moderate,-7.1000000000000005,12.7,7.1000000000000005,0.0,64.2
45-49,34.2,former,sedentary,good,heavy,good,low,moderate,-11.399999999999999,22.800000000000004,11.399999999999999,0.0,72.8
20-24,58.2,never,vigorous,excellent,light,poor,high,moderate,-0.5000000000000004,57.7,0.5000000000000004,0.0,51.0
50-54,29.4,current_heavy,vigorous,poor,none,excellent,moderate,limited,-9.999999999999998,19.4,9.999999999999998,0.0,70.0
25-29,53.4,former,sedentary,good,heavy,excellent,moderate,limited,-12.299999999999997,41.1,12.299999999999997,0.0,74.6
55-59,24.6,former,sedentary,average,none,average,high,strong,-9.3,15.3,9.3,0.0,68.6
40-44,39.0,current_light,light,excellent,none,good,high,isolated,-10.0,29.0,10.0,0.0,70.0
45-49,34.2,former,vigorous,good,moderate,good,moderate,limited,-3.7,30.500000000000004,3.7,0.0,57.4
60-64,19.8,never,light,average,heavy,good,high,isolated,-14.0,5.800000000000001,14.0,0.0,78.0
40-44,39.0,current_light,vigorous,excellent,moderate,excellent,moderate,limited,-2.2000000000000006,36.8,2.2000000000000006,0.0,54.4
20-24,58.2,former,vigorous,good,heavy,poor,low,limited,-8.2,50.0,8.2,0.0,66.4
65-69,15.0,never,vigorous,good,none,poor,minimal,isolated,-0.2999999999999998,14.7,0.2999999999999998,0.0,50.6
30-34,48.6,former,light,average,light,average,minimal,moderate,-4.4,44.2,4.4,0.0,58.8
50-54,29.4,never,vigorous,good,moderate,excellent,high,limited,-2.1,27.299999999999997,2.1,0.0,54.2
55-59,24.6,current_light,light,average,light,good,high,limited,-12.7,11.900000000000002,12.7,0.0,75.4
35-39,43.8,current_heavy,light,poor,light,excellent,low,strong,-10.099999999999998,33.7,10.099999999999998,0.0,70.19999999999999
50-54,29.4,current_light,moderate,average,none,good,minimal,strong,-1.8000000000000007,27.599999999999998,1.8000000000000007,0.0,53.6
45-49,34.2,current_heavy,light,good,heavy,poor,moderate,isolated,-21.400000000000002,12.8,21.400000000000002,0.0,92.80000000000001
65-69,15.0,current_light,sedentary,poor,moderate,excellent,high,moderate,-15.799999999999999,0.0,15.799999999999999,0.0,81.6
25-29,53.4,current_light,moderate,excellent,light,poor,high,strong,-5.8,47.6,5.8,0.0,61.6
45-49,34.2,former,sedentary,good,none,good,high,limited,-10.7,23.500000000000004,10.7,0.0,71.4
50-54,29.4,current_heavy,vigorous,good,heavy,average,low,limited,-13.1,16.299999999999997,13.1,0.0,76.2
20-24,58.2,never,light,poor,moderate,good,minimal,limited,-5.5,52.7,5.5,0.0,61.0
40-44,39.0,never,light,poor,none,good,high,limited,-9.1,29.9,9.1,0.0,68.2
30-34,48.6,current_light,vigorous,excellent,light,good,minimal,moderate,1.6999999999999995,50.300000000000004,0.0,1.6999999999999995,46.6
65-69,15.0,former,sedentary,good,none,excellent,high,isolated,-11.0,4.0,11.0,0.0,72.0
55-59,24.6,former,sedentary,average,none,excellent,low,strong,-3.5999999999999988,21.000000000000004,3.5999999999999988,0.0,57.199999999999996
40-44,39.0,never,moderate,good,heavy,average,high,strong,-6.8999999999999995,32.1,6.8999999999999995,0.0,63.8
65-69,15.0,never,vigorous,poor,light,average,minimal,strong,2.3,17.3,0.0,2.3,45.4
55-59,24.6,never,light,poor,heavy,poor,minimal,limited,-11.2,13.400000000000002,11.2,0.0,72.4
20-24,58.2,never,light,excellent,moderate,excellent,high,moderate,-2.3000000000000003,55.900000000000006,2.3000000000000003,0.0,54.6
50-54,29.4,current_light,vigorous,good,heavy,excellent,high,moderate,-9.8,19.599999999999998,9.8,0.0,69.6
40-44,39.0,never,sedentary,good,none,good,high,isolated,-9.899999999999999,29.1,9.899999999999999,0.0,69.8
55-59,24.6,current_heavy,vigorous,good,none,average,moderate,strong,-5.699999999999999,18.900000000000002,5.699999999999999,0.0,61.4
35-39,43.8,current_light,sedentary,poor,moderate,good,moderate,moderate,-14.899999999999999,28.9,14.899999999999999,0.0,79.8
60-64,19.8,never,sedentary,excellent,light,good,minimal,isolated,-2.3,17.5,2.3,0.0,54.6
20-24,58.2,current_light,sedentary,good,heavy,poor,low,moderate,-16.200000000000003,42.0,16.200000000000003,0.0,82.4
35-39,43.8,current_light,sedentary,excellent,moderate,excellent,high,limited,-10.9,32.9,10.9,0.0,71.8
45-49,34.2,never,sedentary,good,light,average,high,moderate,-8.399999999999999,25.800000000000004,8.399999999999999,0.0,66.8
65-69,15.0,former,light,excellent,light,average,moderate,moderate,-3.5,11.5,3.5,0.0,57.0
60-64,19.8,current_light,moderate,poor,moderate,good,high,isolated,-15.899999999999999,3.900000000000002,15.899999999999999,0.0,81.8
65-69,15.0,current_heavy,vigorous,average,none,average,high,isolated,-14.100000000000001,0.8999999999999986,14.100000000000001,0.0,78.2
45-49,34.2,current_heavy,sedentary,good,moderate,good,minimal,isolated,-14.999999999999996,19.200000000000006,14.999999999999996,0.0,80.0
60-64,19.8,former,moderate,average,heavy,good,moderate,isolated,-12.399999999999999,7.400000000000002,12.399999999999999,0.0,74.8
65-69,15.0,never,vigorous,excellent,none,poor,high,moderate,-4.440892098500626e-16,15.0,4.440892098500626e-16,0.0,50.0
65-69,15.0,former,moderate,average,light,poor,moderate,limited,-8.0,7.0,8.0,0.0,66.0
55-59,24.6,current_light,sedentary,average,heavy,average,moderate,limited,-18.3,6.300000000000001,18.3,0.0,86.6
30-34,48.6,former,vigorous,average,none,excellent,high,strong,-0.7000000000000002,47.9,0.7000000000000002,0.0,51.4
55-59,24.6,former,vigorous,average,none,good,high,limited,-5.4,19.200000000000003,5.4,0.0,60.8
35-39,43.8,former,light,excellent,heavy,good,moderate,isolated,-10.3,33.5,10.3,0.0,70.6
55-59,24.6,never,light,poor,light,good,moderate,limited,-7.300000000000001,17.3,7.300000000000001,0.0,64.6
45-49,34.2,current_heavy,light,poor,moderate,excellent,high,limited,-18.1,16.1,18.1,0.0,86.2
55-59,24.6,never,vigorous,good,heavy,poor,minimal,moderate,-2.8,21.8,2.8,0.0,55.6
20-24,58.2,current_light,moderate,good,none,good,moderate,strong,-3.7,54.5,3.7,0.0,57.4
55-59,24.6,never,vigorous,poor,light,average,low,isolated,-4.5,20.1,4.5,0.0,59.0
65-69,15.0,current_heavy,vigorous,excellent,moderate,average,minimal,strong,-1.5999999999999996,13.4,1.5999999999999996,0.0,53.2
40-44,39.0,former,light,excellent,heavy,good,moderate,limited,-8.6,30.4,8.6,0.0,67.2
40-44,39.0,current_heavy,light,average,light,excellent,minimal,moderate,-8.399999999999999,30.6,8.399999999999999,0.0,66.8
65-69,15.0,current_light,vigorous,excellent,light,good,low,moderate,-0.10000000000000053,14.899999999999999,0.10000000000000053,0.0,50.2
20-24,58.2,current_heavy,vigorous,poor,moderate,good,moderate,limited,-13.099999999999998,45.10000000000001,13.099999999999998,0.0,76.19999999999999
25-29,53.4,current_light,vigorous,average,none,good,moderate,moderate,-4.7,48.699999999999996,4.7,0.0,59.4
55-59,24.6,former,vigorous,excellent,heavy,poor,moderate,limited,-6.600000000000001,18.0,6.600000000000001,0.0,63.2
25-29,53.4,never,moderate,poor,none,excellent,low,moderate,-1.3000000000000003,52.1,1.3000000000000003,0.0,52.6
55-59,24.6,current_light,moderate,excellent,none,excellent,low,strong,1.6999999999999997,26.3,0.0,1.6999999999999997,46.6
40-44,39.0,current_light,moderate,excellent,moderate,average,high,strong,-5.7,33.3,5.7,0.0,61.4
35-39,43.8,never,moderate,good,light,good,moderate,strong,1.0000000000000002,44.8,0.0,1.0000000000000002,48.0
20-24,58.2,current_heavy,light,good,heavy,poor,minimal,limited,-16.700000000000003,41.5,16.700000000000003,0.0,83.4
55-59,24.6,former,sedentary,average,heavy,excellent,minimal,moderate,-9.299999999999999,15.300000000000002,9.299999999999999,0.0,68.6
35-39,43.8,never,light,excellent,moderate,poor,moderate,isolated,-6.3,37.5,6.3,0.0,62.6
30-34,48.6,current_light,vigorous,poor,heavy,poor,low,moderate,-13.0,35.6,13.0,0.0,76.0
20-24,58.2,current_heavy,light,excellent,moderate,poor,high,moderate,-14.5,43.7,14.5,0.0,79.0
65-69,15.0,current_heavy,sedentary,good,none,good,low,moderate,-12.299999999999999,2.700000000000001,12.299999999999999,0.0,74.6
45-49,34.2,current_heavy,vigorous,excellent,none,good,minimal,isolated,-4.1,30.1,4.1,0.0,58.2
30-34,48.6,never,sedentary,excellent,light,good,minimal,isolated,-2.3,46.300000000000004,2.3,0.0,54.6
45-49,34.2,current_heavy,vigorous,good,heavy,poor,high,limited,-17.9,16.300000000000004,17.9,0.0,85.8
25-29,53.4,current_light,light,poor,moderate,average,moderate,limited,-14.499999999999998,38.9,14.499999999999998,0.0,79.0
55-59,24.6,former,moderate,poor,light,average,high,isolated,-12.8,11.8,12.8,0.0,75.6
35-39,43.8,never,moderate,good,light,excellent,moderate,limited,-0.9000000000000001,42.9,0.9000000000000001,0.0,51.8
50-54,29.4,current_light,light,average,light,good,moderate,limited,-10.399999999999999,19.0,10.399999999999999,0.0,70.8
35-39,43.8,current_heavy,vigorous,poor,moderate,poor,moderate,strong,-11.899999999999999,31.9,11.899999999999999,0.0,73.8
30-34,48.6,current_heavy,light,average,moderate,good,high,moderate,-16.299999999999997,32.300000000000004,16.299999999999997,0.0,82.6
65-69,15.0,current_heavy,moderate,excellent,none,excellent,low,limited,-5.1,9.9,5.1,0.0,60.2
25-29,53.4,never,moderate,excellent,heavy,average,high,isolated,-9.1,44.3,9.1,0.0,68.2
40-44,39.0,never,moderate,good,none,average,low,limited,-1.4000000000000001,37.6,1.4000000000000001,0.0,52.8
45-49,34.2,current_heavy,light,average,moderate,average,moderate,strong,-12.599999999999998,21.600000000000005,12.599999999999998,0.0,75.19999999999999
35-39,43.8,never,sedentary,average,moderate,poor,high,limited,-13.1,30.699999999999996,13.1,0.0,76.2
35-39,43.8,current_light,vigorous,excellent,none,good,minimal,moderate,2.1999999999999993,46.0,0.0,2.1999999999999993,45.6
50-54,29.4,former,sedentary,poor,moderate,good,moderate,isolated,-15.0,14.399999999999999,15.0,0.0,80.0
20-24,58.2,never,sedentary,good,moderate,excellent,high,moderate,-7.4,50.800000000000004,7.4,0.0,64.8
30-34,48.6,never,sedentary,average,light,poor,low,moderate,-7.299999999999999,41.300000000000004,7.299999999999999,0.0,64.6
45-49,34.2,current_heavy,moderate,poor,none,good,high,isolated,-17.7,16.500000000000004,17.7,0.0,85.4
25-29,53.4,current_heavy,vigorous,poor,heavy,poor,minimal,strong,-12.5,40.9,12.5,0.0,75.0
60-64,19.8,current_light,light,excellent,heavy,good,low,strong,-6.8,13.0,6.8,0.0,63.6
30-34,48.6,current_light,vigorous,excellent,light,excellent,high,strong,-4.440892098500626e-16,48.6,4.440892098500626e-16,0.0,50.0
65-69,15.0,current_heavy,vigorous,average,moderate,good,minimal,strong,-4.699999999999999,10.3,4.699999999999999,0.0,59.4
40-44,39.0,never,vigorous,excellent,heavy,excellent,minimal,isolated,0.7000000000000002,39.7,0.0,0.7000000000000002,48.6
25-29,53.4,current_light,sedentary,average,heavy,average,low,isolated,-18.8,34.599999999999994,18.8,0.0,87.6
30-34,48.6,former,light,poor,none,poor,moderate,moderate,-10.299999999999999,38.300000000000004,10.299999999999999,0.0,70.6
55-59,24.6,never,moderate,good,moderate,good,low,limited,-2.3,22.3,2.3,0.0,54.6
50-54,29.4,former,sedentary,good,none,good,moderate,isolated,-10.1,19.299999999999997,10.1,0.0,70.2
20-24,58.2,former,moderate,excellent,heavy,good,moderate,limited,-6.800000000000001,51.400000000000006,6.800000000000001,0.0,63.6
55-59,24.6,current_heavy,moderate,average,heavy,good,moderate,isolated,-18.599999999999998,6.0000000000000036,18.599999999999998,0.0,87.19999999999999
60-64,19.8,former,vigorous,excellent,moderate,good,minimal,limited,2.0999999999999996,21.9,0.0,2.0999999999999996,45.8
40-44,39.0,former,sedentary,average,heavy,poor,minimal,strong,-10.599999999999998,28.400000000000002,10.599999999999998,0.0,71.19999999999999
45-49,34.2,never,sedentary,good,light,poor,moderate,limited,-8.5,25.700000000000003,8.5,0.0,67.0
50-54,29.4,current_light,moderate,good,light,excellent,low,limited,-4.9,24.5,4.9,0.0,59.8
25-29,53.4,current_heavy,light,excellent,none,average,minimal,strong,-4.0,49.4,4.0,0.0,58.0
20-24,58.2,former,vigorous,average,heavy,average,high,limited,-11.499999999999998,46.7,11.499999999999998,0.0,73.0
45-49,34.2,never,moderate,excellent,none,excellent,minimal,strong,8.7,42.900000000000006,0.0,8.7,32.6
55-59,24.6,current_light,vigorous,average,moderate,good,low,isolated,-8.0,16.6,8.0,0.0,66.0
65-69,15.0,current_light,sedentary,average,heavy,poor,low,moderate,-17.3,0.0,17.3,0.0,84.6
30-34,48.6,current_heavy,vigorous,poor,none,average,moderate,strong,-8.899999999999999,39.7,8.899999999999999,0.0,67.8
40-44,39.0,former,sedentary,poor,none,excellent,high,limited,-12.5,26.5,12.5,0.0,75.0
30-34,48.6,never,moderate,average,light,poor,minimal,moderate,-1.4000000000000001,47.2,1.4000000000000001,0.0,52.8
25-29,53.4,former,moderate,excellent,moderate,good,moderate,moderate,-2.1,51.3,2.1,0.0,54.2
65-69,15.0,current_light,sedentary,average,light,excellent,low,limited,-10.1,4.9,10.1,0.0,70.2
25-29,53.4,current_light,vigorous,good,moderate,excellent,minimal,limited,-2.000000000000001,51.4,2.000000000000001,0.0,54.0
